编号,肌肉,test1 熵值/RMS,test2熵值/RMS,test3熵值/RMS,test4熵值/RMS,test5熵值/RMS,平均熵值
,RBB,0.0673426968727986,0.06540790257500474,0.07352709704004524,0.06402996134352225,0.055174930555569,0.06509651767738797
,,119.95369428841713,129.24545508892166,127.00830651180732,143.01990621127504,159.76276470942423,
,RTB,0.09670942691825225,0.09422647782865302,0.1020751065911887, 0.08502870652406426,0.10163080523554315,0.09593410461954027
,,77.31255827173023,68.62332343770483,66.101483517595,70.44682969320314,82.30203400727116,
,,,,,,,
H10,LBB,"0.060490822293902353, 0.06261063370061938, 0.06597345727754135, 0.06556871899145512, 0.06628788847930513",,,,,0.06418630414856466
,,"78.54215527654505, 74.81351424594946, 83.65220488142411, 74.12877025262135, 76.46174936764825",,,,,
,LTB,"0.10727124817144341, 0.1128307041459863, 0.1042857020474899, 0.10472616867515307, 0.11779215519249621",,,,,0.10938119564651379
,,"36.72342165866045, 33.38268941562513, 36.524185680042976, 36.06183699552869, 32.78695996828069",,,,,
,RBB,,,,,,
,,,,,,,
,RTB,,,,,,
,,,,,,,
,,,,,,,
S01,LBB,0.05081720544361202,0.04702696807504248,0.05527681003337349,0.0546454907107834,0.05574596842172131,0.052702488536906546
,,33.893141471072724,50.524548963107286,47.46108205753903, 48.25899268405575,49.68556517628407,
,LTB,0.06592116847701492,0.0778849459857739,0.09571321317993688,0.08915513938716214,0.0985921413528902,0.0854533216765556
,,26.33088355688867,23.02484160145331,20.97372945382797,22.18857447411196,19.651378506128342,
,RBB,0.06890623374672424,0.06929075991885371,0.05260082294881075,0.06303610662461724,0.06058822610811832,0.06288442986942486
,,69.34257792034909,84.81037949089341,89.09350734951451,112.04471897446918,118.43249650633773,
,RTB,0.0740142626282302,0.08321035356798225,0.07784271427920676,0.07760155563888961,0.09350743775964244,0.08123526477479025
,,34.73540723553519,28.914124568405946,25.772728075576335,25.144664288018244,24.57360422364685,
,,,,,,,
S02,LBB,0.09512603467024973,0.13037564138221083,0.2018759473139831,0.18878584339848506,NaN,0.154040867
,,4.724890820679254,6.002679214919869,49.78656864758673(痉挛),45.54973890287945(痉挛),NaN,
,LTB,0.07060991891034364,0.11544815203793758,0.18480965943146968,0.167051845200503,0.03987061871530096,0.11555803885911098
,,6.468069504162826,15.408738118030143,118.31069664274776(error),94.3926238062106(error),106.11110570185087(error),
,RBB,0.05772246846710883,0.06412537524788521,0.06774006233577136,0.06597927094103374,0.062279314901908085,0.06356929837874145
,,28.61178349608234,31.97454635649514,29.744870707883297,32.742892614249875,35.20961273176673,
,RTB,0.0797410676823689,0.06784137016093374,0.1059587678513252,0.0868246840264122,0.06382438801918468,0.08083805554804493
,,35.60392654136415,38.50309772960899,32.09381968651831,42.584078777329715,38.62224349924749,
,,,,,,,
S03,LBB,0.07170061448262711,0.08186538920846155,0.06226152135258823,0.07190692235884467,0.07569446250914404,0.07268578198233312
,,51.431649908419224,31.613293117556925,26.918877986243874,26.236386434816627,32.556279821859626,
,LTB,0.10611778933962702,0.10751600593767875,0.09066609456740361,0.08855699384898476,0.10798830903748093,0.10016903854623502
,,95.28331452410973,84.54064914887864,88.22988924383561, 80.6239974244386,84.61030121517699,
,RBB,0.06667210948183046,0.06846243073061765,0.061195263377100025,0.0738592348066779, 0.05121547212133671,0.06428090210351255
,,33.05923485640849,37.37618677651548,31.014586571623692,42.714303116417575,30.47024194470126,
,RTB,0.05790817536786098,0.050388297493751295,0.04802468687037809,0.0582093156816691,0.05010809876819056,0.05292771483637001
,,20.557288928924603,21.95006683568689,17.220252033371512,17.206408844647893,15.695916141273642,
,,,,,,,
S04,LBB,0.07170061448262711,0.08186538920846155,0.06226152135258823,0.07190692235884467,0.07569446250914404,0.07268578198233312
,,51.431649908419224,31.613293117556925,26.918877986243874,26.236386434816627,32.556279821859626,
,LTB,0.15757752881016354,0.15490307668818273,0.1854367166066833,0.16968706867502317,0.0994919663494346,0.15341927142589745
,,113.32457183861237,133.33449688348088,126.23160648718114,104.50283706292448,53.87185713969189,
,RBB,0.0974439399346151,0.09258899745628092,0.08474386683426428,0.08071644969328175,0.09080565052968527,0.08925978088962547
,,9.547529199738996,7.71782988221249,6.685118770672029,5.514427041710878,3.1168994736680644,
,RTB,0.12564281520511303,0.10836249807867239,0.09866868143264097,0.11340202907188991,0.10637628516597665,0.1104904617908586
,,4.507506654362912,4.608714031305583,3.8860390027588867,3.819837402258567,3.5789665450951973,
,,,,,,,
S06,LBB,0.0669130064480702,0.06158912668526651,0.05681513813520645,0.07002790347707501,0.07008074201491078,0.0650851833521058
,,39.39420684851125,41.075279901916865,38.69070313218621, 42.26838386416699,38.57507005079435,
,LTB,0.10996638023434781,0.10681016448505044,0.10329320436204505,0.10747684471049192,0.10550917971474595,0.10661115470133624
,,24.224715621310494,23.675431450555628,23.231950840007865,22.844918505631227,24.384774619387233,
,RBB,0.08990514783821148,0.08150382993236006,0.07686697229811425,0.07769457139852155,0.08509126167479776,0.08221235662840101
,,22.848339103847696,22.947336902208182,22.738202195979,22.177092255218067,22.521805487482514,
,RTB,0.09929100725468,0.10667396104114592,0.09092008959230381,0.09570016309118003,0.09721570963236438,0.09796018612233483
,,19.135295391561872,19.140691957168205,18.816865391860553,17.41987791931607,17.69112011571978,
,,,,,,,
S07,LBB,0.07370396524872615,0.07261740003454588,0.0632040736178442,0.06506391030269144,0.05450843786395055,0.06581955741355164
,,18.123577330746773,19.556432648829254,18.495227973023486,18.70272204719944,17.555038200380572,
,LTB,0.10810189336323141,0.10190361045696118,0.07175416040888528,0.08023723467537759,0.09629751929784737,0.09165888364046057
,,32.52316959828946,37.96166421525226,29.02120435998809,31.31718844958772,41.171653134002895,
,RBB,0.07275409876474027,0.06568992074726233,0.0864407089490762,0.06410613271276668,0.08841302641124073,0.07548077751701723
,,42.214156750824806,39.81138445534009,38.48586855287867,44.291667328182015,46.7177524174988,
,RTB,0.07933910935167411,0.07010345345087145,0.07152358597429732,0.05286018071164334,0.08116439849905323,0.07099814559750789
,,25.113993969053045,27.54782031106302,24.347149557691633,30.459285338182,30.45401159232091,
,,,,,,,
S09,LBB,0.07047537283142981,0.07164270971981747,0.0897692857330601,0.09355517110241109,0.07763731207800963,0.08061597029294562
,,30.81480783785752,22.60118745799512,37.73042174507132,47.79935902616998,26.17516081222354,
,LTB,0.07805383523920152,0.0272337097846358,0.09697509218798418,0.043123783317771676,0.05040382803713462, 0.05915804971334556
,,21.13221765573482,37.08849365506747,29.504947705087112,32.17119942645304,22.052076579194207,
,RBB,0.042568699377627646,0.046960253745218845,0.053766319966812366,0.03533698774014971,0.04857069402425796,0.04544059097081331
,,64.6684918441041,46.8319417240685,64.94893782445534,86.09636671236855(ERROR?),67.71719171393303,
,RTB,0.053555911930148754,0.05308260588488967,0.05084802140124523, 0.04792740863035628,0.06593511095733474,0.05426981176079494
,,43.185515619429395,42.600780426506375,46.01897822218718,55.93310567770657,36.664979633073344,
,,,,,,,
S10,LBB,0.05494691392142482,0.04063699520306142,0.03770400428097576,0.04351040830251563,0.07685816722208107,0.05073129778601174
,,8.010659806513432,6.439650124423636,4.620513449274305,3.3515477637769395,3.4224687740159667,
,LTB,0.013015521172106028,0.013130536661160154,0.018992693225955985,0.019072187816409406,0.016624841976462416,0.0161671561704188
,,31.84792026381696,47.45246120207789,10.379294781136267,9.391878989670376,14.898613212487218,
,RBB,0.07324011083569949,0.07082121739968085,0.07088068788598857,0.06186148326734887,0.07296885986004299,0.06995447184975215
,,53.96161002667762,48.15449039725867,35.90172615883623,34.65510695188058,42.66638386488775,
,RTB,0.09164801598222029,0.08703043915715937,0.09610209031541884,0.0946128093902744,0.08202754226614974,0.09028417942224452
,,25.685490197258712,24.522246990204096,24.06737333485596,25.15925288245317,27.037544021148175,
